StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      102,      00,   189602,    .61,     19,  -2.65,  -2.65,   -.75,  -2.65,      0,   1190,  -1.08,  -1.05,   -.48,   -.95,  -1.38,   -1.7, -99.99,    8.6,   29.5,
      107,      00,   189603,    .84,   41.8,   -.82,   1.69,   -.75,    .45,      1,    584,   -.38,   -.99,  -1.05,   -.43,   -.45,   -.36, -99.99,   28.3,   55.2,
      104,      00,   189603,   3.55,   51.6,  -1.71,  -1.71,  -1.02,  -1.34,     33,    402,   -.63,     .1,   -.12,    -.7,  -1.23,   -.72, -99.99,   40.2,   63.1,
      109,      00,   189603,   2.81,   45.3,     .4,     .4,   1.05,     .4,      1,    426,    .54,   -.67,     .4,   -.16,   -.19,   -.27, -99.99,   34.4,   56.2,
      103,      00,   189603,   3.66,   36.9,  -1.67,  -1.67,     .4,  -1.26,      0,    932,   -.03,   -.08,   -.83,   -.51,   -.56,  -1.17, -99.99,   27.1,   46.7,
      102,      00,   189603,    1.5,   22.8,  -2.44,  -2.44,   -.18,  -2.44,      0,   1190,   -.26,   -.82,   -.99,  -1.47,  -1.39,  -1.48, -99.99,   12.1,   33.6,
      101,      00,   189603,   5.23,   25.3,   2.35,   2.35,   3.38,   2.35,      0,   1095,   1.61,   2.32,   1.31,    .77,   -.16,   -.45, -99.99,   15.4,   35.3,
      106,      00,   189603,   2.06,   50.1,   -.13,   1.22,   -.39,    .56,     21,    389,   -.65,   -.12,   -.04,   -.14,   -.12,   -.09, -99.99,   37.5,   62.6,
      108,      00,   189603,   2.98,   34.8,   -.47,   -.47,   -.33,   -.47,      0,    733,   -.16,   -.38,    .51,   -.35,   -.25,   -.33, -99.99,   25.1,   44.6,
      105,      00,   189603,   1.61,   23.1,   2.31,   2.31,   2.14,   2.31,      0,   1243,   1.28,    .82,   1.31,    .25,   -.93,   -.59, -99.99,   11.9,   34.3,
      105,      00,   189604,   2.85,   41.1,   3.39,   3.39,   3.94,   3.39,      3,    606,    1.8,   2.33,   2.03,   2.22,    .17,   -.08, -99.99,   29.4,   52.9,
      109,      00,   189604,      3,   45.9,   1.62,   1.62,   3.77,   1.62,      2,    455,   1.71,   1.23,    .13,    .42,    .28,    .25, -99.99,   34.4,   57.4,
      103,      00,   189604,   2.75,     60,  -2.43,  -2.43,   -2.8,  -2.43,     28,    229,   -.96,   -.65,   -.58,   -.22,  -1.16,  -1.15, -99.99,     48,   71.9,
      106,      00,   189604,   2.72,   66.2,   -.55,    .66,  -1.31,   -.44,    141,     47,   -.28,   -.59,   -.26,   -.04,   -.59,    .11, -99.99,   54.1,   78.2,
      108,      00,   189604,   3.79,   39.3,   1.09,   1.09,   3.27,   1.09,      0,    603,   1.67,    .73,    .31,    .57,    .09,    .04, -99.99,   29.8,   48.9,
      102,      00,   189604,   4.71,   46.4,   1.22,   -.97,   3.65,    .67,      1,    476,   2.18,   1.84,   1.24,    .87,   -.32,   -.69, -99.99,   35.5,   57.3,
      107,      00,   189604,    .67,   49.3,   -.98,   1.28,   -.73,   -.22,      2,    383,   -.66,    -.8,  -1.21,   -.61,   -.89,   -.22, -99.99,   34.3,   64.3,
      104,      00,   189604,   1.96,   65.7,  -2.54,  -2.54,  -3.04,  -2.54,    103,     76,  -1.35,  -1.26,   -.51,   -.78,  -1.46,  -1.35, -99.99,   53.4,     78,
